rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_kneighborsregressor__leaf_size,param_kneighborsregressor__n_neighbors,param_kneighborsregressor__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1,0.24115557670593263,0.021291076718628718,0.0753324031829834,0.004098452409218545,395,449.756250429919,13,distance,"{'columntransformer__countvectorizer__max_features': 395, 'kneighborsregressor__leaf_size': 449.756250429919, 'kneighborsregressor__n_neighbors': 13, 'kneighborsregressor__weights': 'distance'}",-0.11480434945307905,-0.11078700005779671,-0.1011087588311446,-0.12299079877614769,-0.10207630991049291,-0.1103534434057322,0.008169166647249367,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
2,0.22612671852111815,0.016726969596294886,0.07924857139587402,0.011715193917853896,363,470.31343316420356,12,uniform,"{'columntransformer__countvectorizer__max_features': 363, 'kneighborsregressor__leaf_size': 470.31343316420356, 'kneighborsregressor__n_neighbors': 12, 'kneighborsregressor__weights': 'uniform'}",-0.1148509852823233,-0.11122903664393778,-0.10041447390494,-0.12327771719544317,-0.1023274826240928,-0.11041993913014743,0.008381031586161165,-0.09907336840158168,-0.09848336167805116,-0.10068883593274912,-0.09678106157022884,-0.09973773857418881,-0.09895287323135991,0.001310061539253063
3,0.2297445774078369,0.009957843612181879,0.07292642593383789,0.005250494882498367,336,163.41458350109565,8,distance,"{'columntransformer__countvectorizer__max_features': 336, 'kneighborsregressor__leaf_size': 163.41458350109565, 'kneighborsregressor__n_neighbors': 8, 'kneighborsregressor__weights': 'distance'}",-0.11211009269366227,-0.1107435034777718,-0.10215235098058892,-0.12340108897944263,-0.10428594367380506,-0.11053859596105413,0.007448222354585253,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
4,0.22084131240844726,0.008209204569313247,0.08396921157836915,0.009087138896681878,385,160.667841578777,11,distance,"{'columntransformer__countvectorizer__max_features': 385, 'kneighborsregressor__leaf_size': 160.667841578777, 'kneighborsregressor__n_neighbors': 11, 'kneighborsregressor__weights': 'distance'}",-0.1130971318864077,-0.11193369281085884,-0.10059203396741273,-0.12443484573709238,-0.10314752496617194,-0.11064104587358872,0.008427427901341565,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
5,0.24422197341918944,0.014585888146170949,0.07590980529785156,0.008642695962810901,411,401.08718055867035,22,distance,"{'columntransformer__countvectorizer__max_features': 411, 'kneighborsregressor__leaf_size': 401.08718055867035, 'kneighborsregressor__n_neighbors': 22, 'kneighborsregressor__weights': 'distance'}",-0.11421384936063844,-0.11336177297952388,-0.10146617283716873,-0.12418527388315657,-0.10087727596991855,-0.11082086900608124,0.008751699369705889,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
6,0.24412298202514648,0.008637283416273211,0.07303333282470703,0.0023628572752032893,340,29.67404068872264,7,uniform,"{'columntransformer__countvectorizer__max_features': 340, 'kneighborsregressor__leaf_size': 29.67404068872264, 'kneighborsregressor__n_neighbors': 7, 'kneighborsregressor__weights': 'uniform'}",-0.11152903267088378,-0.11079565275993847,-0.10255928046484947,-0.12440704753053422,-0.1050187436991311,-0.11086195142506741,0.007576231820766021,-0.09236162148541084,-0.09231782138955241,-0.09386856184668464,-0.09094300670820481,-0.09289701530224768,-0.09247760534642008,0.0009491723601090184
7,0.23667192459106445,0.007050811826956519,0.07302732467651367,0.0041728015992726014,344,434.3909398589283,22,distance,"{'columntransformer__countvectorizer__max_features': 344, 'kneighborsregressor__leaf_size': 434.3909398589283, 'kneighborsregressor__n_neighbors': 22, 'kneighborsregressor__weights': 'distance'}",-0.11430291494001998,-0.11319374448161514,-0.10158175567868657,-0.12456563324924878,-0.1006676010543486,-0.11086232988078382,0.00888949038094056,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
8,0.23166279792785643,0.02032177441904952,0.09649238586425782,0.011716081715684144,202,427.3465553009175,12,distance,"{'columntransformer__countvectorizer__max_features': 202, 'kneighborsregressor__leaf_size': 427.3465553009175, 'kneighborsregressor__n_neighbors': 12, 'kneighborsregressor__weights': 'distance'}",-0.11404958169216646,-0.11132713579489466,-0.10175516534790342,-0.12317224273589124,-0.1044373166121956,-0.11094828843661027,0.00756429600308163,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
9,0.22548623085021974,0.01988853239958876,0.07448377609252929,0.01002124685856718,428,11.714433484990067,17,distance,"{'columntransformer__countvectorizer__max_features': 428, 'kneighborsregressor__leaf_size': 11.714433484990067, 'kneighborsregressor__n_neighbors': 17, 'kneighborsregressor__weights': 'distance'}",-0.11419013862707951,-0.11239686419755414,-0.10132363657864829,-0.12429219290780288,-0.10254496110489755,-0.11094955868319648,0.008413293962440666,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
10,0.23941726684570314,0.030795423921882645,0.07951312065124512,0.011096654673516856,376,269.4620762432905,21,distance,"{'columntransformer__countvectorizer__max_features': 376, 'kneighborsregressor__leaf_size': 269.4620762432905, 'kneighborsregressor__n_neighbors': 21, 'kneighborsregressor__weights': 'distance'}",-0.11486270265808889,-0.11384169104179732,-0.10109754385195635,-0.12433346401757192,-0.10133023045425699,-0.1110931264047343,0.008857727255962853,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
11,0.2570662021636963,0.029897332810440876,0.08049235343933106,0.007672063384058809,263,191.22262804479445,12,distance,"{'columntransformer__countvectorizer__max_features': 263, 'kneighborsregressor__leaf_size': 191.22262804479445, 'kneighborsregressor__n_neighbors': 12, 'kneighborsregressor__weights': 'distance'}",-0.11405948864126055,-0.112295220028764,-0.10128865107735079,-0.12335101292523802,-0.10463405875961274,-0.11112568628644523,0.007724533727142524,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
12,0.22616543769836425,0.019531428048623355,0.07607879638671874,0.012946843013946378,347,264.9356642807194,19,distance,"{'columntransformer__countvectorizer__max_features': 347, 'kneighborsregressor__leaf_size': 264.9356642807194, 'kneighborsregressor__n_neighbors': 19, 'kneighborsregressor__weights': 'distance'}",-0.11476085773636027,-0.11302793124446056,-0.10231483308720626,-0.1239883335742031,-0.10167865335643891,-0.11115412179973383,0.00835648520595735,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
13,0.2281709671020508,0.025485056310432158,0.09168767929077148,0.018857525481732914,304,469.9000509751621,8,distance,"{'columntransformer__countvectorizer__max_features': 304, 'kneighborsregressor__leaf_size': 469.9000509751621, 'kneighborsregressor__n_neighbors': 8, 'kneighborsregressor__weights': 'distance'}",-0.11161433294442606,-0.11153710329295159,-0.10201251794897301,-0.12565733835325144,-0.10500669433137715,-0.11116559737419585,0.00814936668114742,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
14,0.2324672222137451,0.015262887461234442,0.0930856704711914,0.014314681299173472,378,256.6197333907447,14,uniform,"{'columntransformer__countvectorizer__max_features': 378, 'kneighborsregressor__leaf_size': 256.6197333907447, 'kneighborsregressor__n_neighbors': 14, 'kneighborsregressor__weights': 'uniform'}",-0.1160556523735598,-0.1118923096677334,-0.1010710264871887,-0.12399134808335775,-0.10286817422107979,-0.11117570216658387,0.008481600223406936,-0.10042533531675481,-0.0997200180547796,-0.10323997513671372,-0.09761090473863938,-0.10202976492484003,-0.10060519963434551,0.0019366531821035137
