rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_svr__C,param_svr__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1,0.37464084625244143,0.013685855461079387,0.07820639610290528,0.005176655584811483,262,39.48146160803355,0.0013966799663225288,"{'columntransformer__countvectorizer__max_features': 262, 'svr__C': 39.48146160803355, 'svr__gamma': 0.0013966799663225288}",-0.08821644123926574,-0.09316665310549371,-0.08583657875605223,-0.09800517552847901,-0.08363078093090777,-0.0897711259120397,0.005194818962182022,-0.06798365463325302,-0.0670622028662834,-0.06869416122533326,-0.06754188073801108,-0.06963178462248519,-0.06818273681707318,0.0009019114183323714
2,0.44494924545288084,0.01686827098692945,0.08189353942871094,0.008416111430659214,175,118.90306623558558,0.0012825869301190313,"{'columntransformer__countvectorizer__max_features': 175, 'svr__C': 118.90306623558558, 'svr__gamma': 0.0012825869301190313}",-0.08894808237148702,-0.09640233001887052,-0.0862155501758625,-0.09955903454875448,-0.08649113010694653,-0.09152322544438421,0.005449855988880491,-0.06613595371392307,-0.06486408427727881,-0.0668947274582447,-0.06556171376491926,-0.06675547858053635,-0.06604239155898044,0.0007567275142530747
3,0.3732155799865723,0.0255493358457436,0.09248285293579102,0.019376225739210832,308,7.3113454769910735,0.0019814349276640365,"{'columntransformer__countvectorizer__max_features': 308, 'svr__C': 7.3113454769910735, 'svr__gamma': 0.0019814349276640365}",-0.09197589933488498,-0.09562131803317289,-0.08593888829302275,-0.10083873218008309,-0.0846143451895301,-0.09179783660613876,0.00603851527455988,-0.0770679231028378,-0.07642566956925917,-0.07868090248133043,-0.07559688932520299,-0.07921363206761652,-0.07739700330924938,0.0013594653730089304
4,0.3713513374328613,0.017681633156287846,0.08617358207702637,0.0102357635261882,164,8.8216110206192,0.0018137685304256857,"{'columntransformer__countvectorizer__max_features': 164, 'svr__C': 8.8216110206192, 'svr__gamma': 0.0018137685304256857}",-0.09255050050905289,-0.0953890433007738,-0.08552732533866035,-0.1010169407051337,-0.08483538918425133,-0.09186383980757441,0.006102923109585579,-0.07821678756264186,-0.0772214574584645,-0.07985987311139234,-0.07648884847900193,-0.07989879756801069,-0.07833715283590226,0.001373528614677565
5,0.37418880462646487,0.013341682561769345,0.07598071098327637,0.0034255720272427957,193,4.463903666294231,0.01773716727218289,"{'columntransformer__countvectorizer__max_features': 193, 'svr__C': 4.463903666294231, 'svr__gamma': 0.01773716727218289}",-0.08986105395008276,-0.09623940007575758,-0.08784866281850066,-0.09920840855250093,-0.08812088267600614,-0.09225568161456962,0.004614391470914059,-0.05290382167470701,-0.05204223129945267,-0.05278989841885766,-0.052909126909647795,-0.05315580381183816,-0.052760176422900665,0.0003783304994505827
6,0.3666597843170166,0.027849105323288978,0.08889327049255372,0.01214643984690412,225,2.4677723440274604,0.003338706977300559,"{'columntransformer__countvectorizer__max_features': 225, 'svr__C': 2.4677723440274604, 'svr__gamma': 0.003338706977300559}",-0.09516193721983934,-0.0986788970732956,-0.08769375906585355,-0.1043332188884334,-0.08660321479063655,-0.09449420540761168,0.006682477081891382,-0.08247150153000196,-0.0819256647961425,-0.08441536908121836,-0.08127168397314628,-0.08482846490283291,-0.0829825368566684,0.001397541540119849
7,0.3605216979980469,0.015752932418659476,0.08852963447570801,0.011253414979679922,379,2.146198476246285,0.0036328920097844536,"{'columntransformer__countvectorizer__max_features': 379, 'svr__C': 2.146198476246285, 'svr__gamma': 0.0036328920097844536}",-0.09570508475244403,-0.098752896384738,-0.08785368212716584,-0.10470817279761391,-0.08687282237123889,-0.09477853168664013,0.006718714596274365,-0.08242944481082025,-0.08195062343964692,-0.08446545141703937,-0.08128288342592599,-0.08487427514891172,-0.08300053564846885,0.00141673338869474
8,0.4532155513763428,0.02343180122799352,0.10030837059020996,0.02158065256831419,192,11.231704682121046,0.01915631864843832,"{'columntransformer__countvectorizer__max_features': 192, 'svr__C': 11.231704682121046, 'svr__gamma': 0.01915631864843832}",-0.09215791291711996,-0.0997240229405663,-0.09142490119811401,-0.10194637028229267,-0.09221623588376864,-0.09549388864437233,0.00442621635172194,-0.03911435714141899,-0.03832386852528583,-0.03890544824791024,-0.03912848700136692,-0.03910766237611417,-0.03891596465841923,0.0003072333850003115
9,0.7709834098815918,0.022632538426530843,0.10259780883789063,0.02085728151136818,276,159.51023425544122,0.003957097400498673,"{'columntransformer__countvectorizer__max_features': 276, 'svr__C': 159.51023425544122, 'svr__gamma': 0.003957097400498673}",-0.09007808425764138,-0.10018515135001335,-0.09333876417694287,-0.10004881513681946,-0.09383346976213337,-0.09549685693671009,0.003987173097849677,-0.04140894746380438,-0.0403180580918669,-0.040436019056011345,-0.04127160207344042,-0.04126323718213207,-0.04093957277345102,0.0004637157644968606
10,0.33361167907714845,0.004375233197020095,0.08541955947875976,0.013057356344217291,391,0.686356223612712,0.02628574729341501,"{'columntransformer__countvectorizer__max_features': 391, 'svr__C': 0.686356223612712, 'svr__gamma': 0.02628574729341501}",-0.09562969390982308,-0.09837133497963776,-0.08962799006418055,-0.10577114777014367,-0.08829846436916464,-0.09553972621858994,0.006326019077713884,-0.07020356588178794,-0.07048644719706135,-0.07169017430533112,-0.06886797839585632,-0.07197601000075951,-0.07064483515615924,0.00111729903503167
11,0.40121283531188967,0.019904978844646423,0.0782651424407959,0.009588894781728877,437,6.1792472104746325,0.057036582128035716,"{'columntransformer__countvectorizer__max_features': 437, 'svr__C': 6.1792472104746325, 'svr__gamma': 0.057036582128035716}",-0.09457871020351234,-0.10017950121552897,-0.08975522296014636,-0.10349556572150387,-0.09120831315879585,-0.09584346265189748,0.005244173603848165,-0.028841359735405553,-0.028777526106761753,-0.02867713160776893,-0.028090232046281402,-0.028437365166252428,-0.028564722932494013,0.0002741570439370404
